intro_db,db_id,intro_name,intro_locality,dr_id,intro_source,intro_status
wrims,107379,Callinectes sapidus,Albania; Greek part of the Ionian Sea; German part of the North Sea; Egypt; Adriatic Sea,824483; 815758; 818862; 824123; 857321; 816447,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Thessalou-Legaki, M.; Aydogan, O.; Bekas, P.; Bilge, G.; Boyaci, Y.; Brunelli, E.; Circosta, V.; Crocetta, F.; Durucan, F.; Erdem, M.; Ergolavou, A.; Filiz, H.; Fois, F.; Gouva, E.; Kapiris, K.; Katsanevakis, S.; Kljajic, Z.; Konstantinidis, E.; Konstantinou, G.; Koutsogiannopoulos, D.; Lamon, S.; Macic, V.; Mazzette, R.; Meloni, D.; Mureddu, A.; Paschos, I.; Perdikaris, C.; Piras, F.; Poursanidis, D.; Ramos-Espla, A.; Rosso, A.; Sordino, P.; Sperone, E.; Sterioti, A.; Taskin, E.; Toscano, F.; Tripepi, S.; Tsiakkiros, L.; Zenetos, A. (2012). New Mediterranean Biodiversity Records (December 2012). <em>Mediterranean Marine Science.</em> 13(2): 312-327.; Nehring, S.; van der Meer, U. (2010). First record of a fertilized female blue crab, Callinectes sapidus Rathbun, 1896 (Crustacea: Decapoda: Brachyura), from the German Wadden Sea and subsequent secondary prevention measures. Aquatic Invasions 5(2): 215-218.; Anonymous (1965) Desperation as blue crabs swamp Nile delta, Fishing News International 14: 56-57; Beqiraj, S.; Kashta, L. (2010). The establishment of blue crab Callinectes sapidus Rathbun, 1896 in the Lagoon of Patok, Albania (south-east Adriatic Sea). Aquatic Invasions 5(2): 219-221.",invasive; of concern
wrims,107381,Carcinus maenas,United States part of the North Atlantic Ocean; Australia; Australian part of the Great Australian Bight; United States Exclusive Economic Zone; Australian part of the Bass Strait; United States part of the North Pacific Ocean; Australian part of the Tasman Sea; Table Bay; Hout Bay,824152; 824166; 815798; 815799; 824476; 824478; 824519; 824524; 826096; 826124; 826131; 887955; 887958; 857546,"Almaca, C. (1963) Sur le probleme de l'origine de Carcinus maenas (L.) du littoral Americain., Revista da Faculdade de Ciências, Universidade de Lisboa, series 2^C 11: 121-136; Cohen, A. N.; Carlton, J. T.; Fountain, M. C. (1995). Introduction, dispersal and potential impacts of the green crab Carcinus maenas in San Francisco Bay, California. <em>Marine Biology.</em> 122, 225-237.; Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Fulton, S. W.; Grant, F. E. (1900). Note on the occurrence of the European crab, Carcinus maenas, Leach, in Port Phillip. <em>Victorian Naturalist.</em> 17, 147.; Furlani, D. (1996). A guide to the introduced marine species in Australian waters. <em>Hobart :  CSIRO Division of Fisheries.</em>; Grosholz, E. D.; Ruiz, G. M. (1995). Spread and potential impact of the recently introduced European green crab, Carcinus maenas. 239-247.; Jensen, G. C.; Mcdonald, P. S.; Armstrong, D. A. (2007). Biotic resistance to green crab, Carcinus maenas, in California bays. <em>Marine Biology.</em> 151, 2231-2243.; Thresher, R.; Proctor, C.; Ruiz, G.; Gurney, R.; Mackinnon, C.; Walton, W.; Rodriguez, L.; Bax, B. (2003). Invasion dynamics of the European shore crab, Carcinus maenas, in Australia. <em>Marine Biology.</em> 142, 867-876.; Vermeij, G. J. (1982). Environmental Change and the Evolutionary History of the Periwinkle (Littorina littorea) in North America. <em>Evolution.</em> 36(3): 561-580.; Carlton, J. T.; Cohen, A. N. (2003). Episodic global dispersal in shallow water marine organisms: the case history of the European shore crabs, Carcinus maenas and C. aestuarii. <em>Journal of Biogeography.</em> 30, 1809-1820.; NA; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.",invasive; of concern
wrims,107382,Charybdis (Charybdis) hellerii,Belizean part of the Caribbean Sea; Mediterranean Sea - Eastern Basin; Brazilian part of the South Atlantic Ocean,815831; 815832; 818882,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS); Sant'Anna, B.S.; Watanabe, T.T.; Turra, A.; Zara, F.J. (2012). Relative abundance and population biology of the non-indigenous crab Charybdis hellerii (Crustacea: Brachyura: Portunidae) in a southwestern Atlantic estuary-bay complex. Aquatic Invasions 7(3): 347–356.",invasive
wrims,107383,Charybdis (Goniohellenus) longicollis,Aegean Sea; Mediterranean Sea - Eastern Basin; Israeli part of the Mediterranean Sea - Eastern Basin,816621; 816623; 864512,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.; Lewinsohn, C.; Holthuis, L. B. (1964). New records of Decapod Crustacea from the Mediterranean coast of Israel and the Eastern Mediterranean. <em>Zoologische Mededelingen.</em> 40(8): 45-63.",invasive
wrims,107404,Portunus (Portunus) pelagicus,Israeli part of the Mediterranean Sea - Eastern Basin,864276,"Fox, H. M. (1924). The Migration of a Red Sea Crab through the Suez Canal. <em>Nature.</em> 113(2846): 714-715.",invasive
wrims,107412,Dyspanopeus sayi,Adriatic Sea,814835,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.",invasive
wrims,107414,Rhithropanopeus harrisii,Swedish Exclusive Economic Zone,815510,"Fowler, A.E.;  Forsström, T.; von Numers, M.; Vesakoski, O. (2013). The North American mud crab Rhithropanopeus harrisii (Gould, 1841) in newly colonized Northern Baltic Sea: distribution and ecology. Aquatic Invasions 8(1): 89–96.",invasive
wrims,107451,Eriocheir sinensis,United Kingdom part of the Celtic Sea; United Kingdom part of the English Channel; Sweden; United Kingdom part of the North Sea; United States part of the North Pacific Ocean; Canadian part of the Gulf of St-Lawrence; Swedish part of the Baltic Sea; Swedish part of the Kattegat; Swedish part of the Skagerrak,816676; 816677; 819036; 857248; 826250; 824929; 819037; 857953; 857954; 857955,"Minchin, D.; Cook, E.; Clark, P. (2013). Alien species in British brackish and marine waters. <em>Aquatic Invasions.</em> 8(1): 3-19.; Otto, T.; Dirk Brandis, D. (2011). First evidence of Eriocheir sinensis reproduction from Schleswig—Holstein, Northern Germany, western Baltic Sea. <em>Aquatic Invasions.</em> 6(Supplement 1): S65-S69.; Rudnick, D. A.; Hieb, K.; Grimmer, K. F.; Resh, V. H. (2003). Patterns and processes of biological invasion: The Chinese mitten crab in San Francisco Bay. Basic and Applied Ecology. 4(3): 249-262.; Cohen, A. N.; Carlton, J. T. (1997). Transoceanic transport mechanisms: Introduction of the Chinese mitten crab, Eriocheir sinensis, to California. <em>Pacific Science.</em> 51, 1-11.; de Lafontaine, Y.; Sévigny, J.-M.; Calvé, R.; Verreault, G.; Despatie, S.-P.; Veilleux, E. (2008). Chinese mitten crabs (Eriocheir sinensis) in the St. Lawrence River and Estuary, Canada: new records and risk of invasion. Aquatic Invasions 3(2): 153-163.; Swedish AquaAliens Research Programme (2006). Alien Species in Swedish Sea Areas / Frammande Arter / Svenska Hav - Sweden.",invasive; of concern
wrims,107458,Percnon gibbesi,Azores part of the North Atlantic Ocean; Canary Islands part of the North Atlantic Ocean,823235; 823236,CIESM (The Mediterranean Science Commission) (undated) CIESM Atlas of Exotic Species in the Mediterranean,invasive
wrims,107480,Alpheus migrans,Aegean Sea; Mediterranean Sea - Eastern Basin,814173; 814174,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.",of concern
wrims,107614,Palaemon elegans,Baltic sea; Finland,815110; 819168,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.; Katajisto, T.; Kotta, J.; Lehtiniemi, M.; Malavin, S.A.; Panov, V.E. (2013). Palaemon elegans Rathke, 1837 (Caridea: Palaemonoidea: Palaemonidae) established in the Gulf of Finland. BioInvasions Records 2(2): 125–132.",invasive; of concern
wrims,109707,Alexandrium affine,China Sea,814120,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.",invasive
wrims,109711,Alexandrium minutum,Australian Exclusive Economic Zone; Swedish part of the Kattegat; Swedish part of the Skagerrak,822794; 857438; 858052; 858053,"Department of Agriculture, Fisheries and Forestry (DAFF), Australia. (2009). NIMPIS (National Introduced Marine Pest Information System). The National System for the Prevention and Management of Marine Pest Incursions.; Hayes, K.; Sliwa, C.; Migus, S.; McEnnulty, F.; Dunstan, P.; Heritagearkes, P. (2005). National priority pests. Part II, Ranking of Australian marine pests. Australian Government Department of the Environment and Heritage: Parkes. ISBN 1 876996 80 3. 94 pp.; Swedish AquaAliens Research Programme (2006). Alien Species in Swedish Sea Areas / Frammande Arter / Svenska Hav - Sweden.",invasive; of concern
