rank,scientific_name,database,db_id,kingdom,phylum,class,order,family,genus,species,raw_name
Phylum,Acidobacteria,itis,956098,Bacteria,Acidobacteria,,,,,,Acidobacteria
Order,Holophagales,itis,956233,Bacteria,Acidobacteria,Holophagae,Holophagales,,,,Holophagales
Genus,Pseudonocardia,worms,559769,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardia
Genus,Arthrobacter,worms,392700,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,,Arthrobacter
Genus,Bifidobacterium,worms,559796,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,Bifidobacterium
Family,Microbacteriaceae,worms,393617,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,,,Microbacteriaceae
Family,Mycobacteriaceae,worms,178087,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,,,Mycobacteriaceae
Genus,Mycobacterium,worms,178089,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,,Mycobacterium
Family,Nocardiaceae,worms,178070,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,,,Nocardiaceae
Family,Nocardioidaceae,worms,559753,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,,Nocardioidaceae
Order,Actinomycetales,itis,465,Bacteria,Actinobacteria,,Actinomycetales,,,,Actinomycetales
Phylum,Actinobacteria,itis,956099,Bacteria,Actinobacteria,,,,,,Actinobacteria
Order,Acidimicrobiales,itis,956185,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,,,,Acidimicrobiales
Unknown,Acrocirrus,worms,129138,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,Acrocirrus,,Acrocirrus
Species,Aglaophamus paucilamellata,worms,326247,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus paucilamellata,Aglaophamus paucilamellata
Genus,Amaeana,worms,129685,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,,Amaeana
Family,Ampharetidae,worms,981,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae
Unknown,Amphiglena,worms,129521,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Amphiglena,,Amphiglena
Species,Amphinome rostrata,worms,129825,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinome,Amphinome rostrata,Amphinome rostrata
Unknown,Amphitrite,worms,129686,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Amphitrite,,Amphitrite
Phylum,Annelida,worms,882,Animalia,Annelida,,,,,,Annelida
Genus,Anobothrus,worms,129158,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,,Anobothrus
Species,Anobothrus mancus,worms,326460,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,Anobothrus mancus,Anobothrus mancus
Genus,Aphelochaeta,worms,129240,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Aphelochaeta
Species,Aphelochaeta bullata,worms,598800,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta bullata,Aphelochaeta bullata
Species,Apistobranchus ornatus,worms,326532,Animalia,Annelida,Polychaeta,Spionida,Apistobranchidae,Apistobranchus,Apistobranchus ornatus,Apistobranchus ornatus
Unknown,Arabella,worms,129199,Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,,Arabella
Species,Aricidea antennata,worms,337478,Animalia,Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea antennata,Aricidea antennata
Species,Aricidea simplex,worms,174163,Animalia,Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea simplex,Aricidea simplex
Species,Aricidea wassi,worms,130575,Animalia,Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea wassi,Aricidea wassi
Genus,Autolytus,worms,129646,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Autolytus,,Autolytus
Species,Autolytus simplex,worms,174835,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Autolytus,Autolytus simplex,Autolytus simplex
Genus,Branchiomma,worms,129524,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Branchiomma,,Branchiomma
Family,Capitellidae,worms,921,Animalia,Annelida,Polychaeta,,Capitellidae,,,Capitellidae
Species,Ceratocephale loveni,worms,130367,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Ceratocephale,Ceratocephale loveni,Ceratocephale loveni
Genus,Chaetopterus,worms,129229,Animalia,Annelida,Polychaeta,,Chaetopteridae,Chaetopterus,,Chaetopterus
Genus,Chaetozone,worms,129242,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,,Chaetozone
Species,Chaetozone spinosa,worms,327430,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,Chaetozone spinosa,Chaetozone spinosa
Family,Cirratulidae,worms,919,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae
Genus,Cirratulus,worms,129243,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulus,,Cirratulus
Genus,Cossura,worms,129251,Animalia,Annelida,Polychaeta,,Cossuridae,Cossura,,Cossura
Genus,Diopatra,worms,129398,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,,Diopatra
Family,Dorvilleidae,worms,971,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,,,Dorvilleidae
Class,Echiura,worms,1269,Animalia,Annelida,Polychaeta,,,,,Echiura
Species,Ephesiella brevicapitis,worms,332790,Animalia,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Ephesiella,Ephesiella brevicapitis,Ephesiella brevicapitis
Unknown,Eteone,worms,129443,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,,Eteone
Family,Euclymeninae,worms,152232,Animalia,Annelida,Polychaeta,,Maldanidae,,,Euclymeninae
Species,Eulalia quadrioculata,worms,327601,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,Eulalia quadrioculata
Species,Eulalia viridis,worms,130639,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia viridis,Eulalia viridis
Species,Eumida bahusiensis,worms,130641,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,Eumida bahusiensis,Eumida bahusiensis
Genus,Eunice,worms,129278,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,,Eunice
Family,Fabriciidae,worms,154918,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,,,Fabriciidae
Family,Flabelligeridae,worms,976,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,,,Flabelligeridae
Genus,Goniada,worms,129300,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,,Goniada
Species,Gyptis hians,worms,328189,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis,Gyptis hians,Gyptis hians
Genus,Halosydna,worms,152404,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,,Halosydna
Species,Halosydna brevisetosa,worms,333534,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,Halosydna brevisetosa,Halosydna brevisetosa
Species,Halosydna patagonica,worms,155283,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,Halosydna patagonica,Halosydna patagonica
Order,Haplotaxida,worms,2118,Animalia,Annelida,Clitellata,Haplotaxida,,,,Haplotaxida
Species,Harmothoe imbricata,worms,130769,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe imbricata,Harmothoe imbricata
Species,Hediste diversicolor,worms,152302,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diversicolor,Hediste diversicolor
Genus,Heteromastus,worms,129214,Animalia,Annelida,Polychaeta,,Capitellidae,Heteromastus,,Heteromastus
Species,Hipponoe gaudichaudi,worms,129832,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hipponoe,Hipponoe gaudichaudi,Hipponoe gaudichaudi
Genus,Hydroides,worms,129566,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,,Hydroides
Species,Hydroides dianthus,worms,131000,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides dianthus,Hydroides dianthus
Species,Hydroides ezoensis,worms,131003,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides ezoensis,Hydroides ezoensis
Genus,Lepidonotus,worms,129496,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,,Lepidonotus
Unknown,Lepidonotus,worms,129496,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,,Lepidonotus
Species,Levinsenia gracilis,worms,130578,Animalia,Annelida,Polychaeta,,Paraonidae,Levinsenia,Levinsenia gracilis,Levinsenia gracilis
Family,Lumbrineridae,worms,967,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae
Genus,Lumbrineris,worms,129337,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,,Lumbrineris
Genus,Lysippe,worms,129166,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Lysippe,,Lysippe
Family,Maldanidae,worms,923,Animalia,Annelida,Polychaeta,,Maldanidae,,,Maldanidae
Genus,Mediomastus,worms,129218,Animalia,Annelida,Polychaeta,,Capitellidae,Mediomastus,,Mediomastus
Unknown,Naineris,worms,129419,Animalia,Annelida,Polychaeta,,Orbiniidae,Naineris,,Naineris
Genus,Neodexiospira,worms,129634,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Neodexiospira,,Neodexiospira
Species,Neodexiospira alveolata,worms,606820,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Neodexiospira,Neodexiospira alveolata,Neodexiospira alveolata
Species,Neoheteromastus lineus,worms,329499,Animalia,Annelida,Polychaeta,,Capitellidae,Neoheteromastus,Neoheteromastus lineus,Neoheteromastus lineus
Species,Neomediomastus glabrus,worms,334127,Animalia,Annelida,Polychaeta,,Capitellidae,Neomediomastus,Neomediomastus glabrus,Neomediomastus glabrus
Genus,Nephtys,worms,129370,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,Nephtys
Family,Nereididae,worms,22496,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae
Species,Nereiphylla castanea,worms,334162,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Nereiphylla,Nereiphylla castanea,Nereiphylla castanea
Genus,Nereis,worms,129379,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,Nereis
Species,Nereis grubei,worms,334186,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis grubei,Nereis grubei
Species,Nereis pelagica,worms,130404,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis pelagica,Nereis pelagica
Genus,Ninoe,worms,129338,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe,,Ninoe
Species,Notomastus precocis,worms,330015,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus,Notomastus precocis,Notomastus precocis
Genus,Octobranchus,worms,129716,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Octobranchus,,Octobranchus
Genus,Odontosyllis,worms,129660,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Odontosyllis,,Odontosyllis
Class,Oligochaeta,worms,2036,Animalia,Annelida,Clitellata,,,,,Oligochaeta
Unknown,Oligochaeta,worms,2036,Animalia,Annelida,Clitellata,,,,,Oligochaeta
Genus,Paleanotus,worms,129238,Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,,Paleanotus
Unknown,Paleanotus,worms,129238,Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,,Paleanotus
Family,Paraonidae,worms,903,Animalia,Annelida,Polychaeta,,Paraonidae,,,Paraonidae
Genus,Parasabella,worms,325958,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Parasabella,,Parasabella
Genus,Parougia,worms,129270,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Parougia,,Parougia
Species,Perinereis nigropunctata,worms,209796,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Perinereis,Perinereis nigropunctata,Perinereis nigropunctata
Species,Pholoe courtneyae,worms,330541,Animalia,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoe,Pholoe courtneyae,Pholoe courtneyae
Species,Phyllochaetopterus limicolus,worms,330561,Animalia,Annelida,Polychaeta,,Chaetopteridae,Phyllochaetopterus,Phyllochaetopterus limicolus,Phyllochaetopterus limicolus
Family,Phyllodocidae,worms,931,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae
Species,Phylo nudus,worms,334518,Animalia,Annelida,Polychaeta,,Orbiniidae,Phylo,Phylo nudus,Phylo nudus
Species,Platynereis australis,worms,334555,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis australis,Platynereis australis
Class,Polychaeta,worms,883,Animalia,Annelida,Polychaeta,,,,,Polychaeta
Unknown,Polychaeta,worms,883,Animalia,Annelida,Polychaeta,,,,,Polychaeta
Genus,Polycirrus,worms,129710,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,,Polycirrus
Unknown,Polydora,worms,129619,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,,Polydora
Family,Polynoidae,worms,939,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,Polynoidae
Genus,Prionospio,worms,129620,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio
Unknown,Pygospio,worms,129622,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,Pygospio
Species,Pygospio californica,worms,331458,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,Pygospio californica,Pygospio californica
Species,Romanchella pustulata,worms,212954,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Romanchella,Romanchella pustulata,Romanchella pustulata
Species,Sabella spallanzanii,worms,130969,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,Sabella spallanzanii
Family,Sabellariidae,worms,979,Animalia,Annelida,Polychaeta,,Sabellariidae,,,Sabellariidae
Order,Sabellida,worms,901,Animalia,Annelida,Polychaeta,Sabellida,,,,Sabellida
Family,Sabellidae,worms,985,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae
Genus,Salmacina,worms,129578,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Salmacina,,Salmacina
Unknown,Salmacina,worms,129578,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Salmacina,,Salmacina
Genus,Serpula,worms,129580,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,,Serpula
Unknown,Serpula,worms,129580,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,,Serpula
Species,Serpula columbiana,worms,338088,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,Serpula columbiana,Serpula columbiana
Species,Serpula vermicularis,worms,131051,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,Serpula vermicularis,Serpula vermicularis
Family,Serpulidae,worms,988,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae
Genus,Sphaerodoropsis,worms,129601,Animalia,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoropsis,,Sphaerodoropsis
Unknown,Sphaerosyllis,worms,129677,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Sphaerosyllis,,Sphaerosyllis
Family,Spionidae,worms,913,Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae
Genus,Spirobranchus,worms,129582,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,,Spirobranchus
Unknown,Spirobranchus,worms,129582,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,,Spirobranchus
Species,Spirobranchus kraussii,worms,555934,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus kraussii,Spirobranchus kraussii
Species,Spirobranchus minutus,worms,560034,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus minutus,Spirobranchus minutus
Species,Spirobranchus polytrema,worms,131054,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus polytrema,Spirobranchus polytrema
Species,Spirobranchus taeniatus,worms,560035,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus taeniatus,Spirobranchus taeniatus
Species,Spirobranchus triqueter,worms,555935,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus triqueter,Spirobranchus triqueter
Family,Spirorbidae,worms,1021266,Animalia,Annelida,Polychaeta,Sabellida,Spirorbidae,,,Spirorbidae
Family,Spirorbinae,worms,989,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Spirorbinae
Genus,Spirorbis,worms,129642,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,,Spirorbis
Species,Spirorbis spirorbis,worms,131237,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,Spirorbis spirorbis,Spirorbis spirorbis
Species,Steggoa magalhaensis,worms,334855,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Steggoa,Steggoa magalhaensis,Steggoa magalhaensis
Genus,Syllidae,worms,948,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,,,Syllidae
Family,Syllidae,worms,948,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,,,Syllidae
Unknown,Syllis,worms,129680,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,,Syllis
Species,Syllis ehlersoides,gbif,5194534,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis ehlersia,Syllis ehlersoides
Species,Syllis elongata,worms,334893,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis elongata,Syllis elongata
Species,Syllis gracilis,worms,131435,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis gracilis,Syllis gracilis
Species,Syllis hyalina,worms,131436,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis hyalina,Syllis hyalina
Species,Syllis pulchra,worms,339722,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis pulchra,Syllis pulchra
Unknown,Terebella,worms,129713,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Terebella,,Terebella
Family,Terebellidae,worms,982,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,Terebellidae
Genus,Terebellides,worms,129717,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,,Terebellides
Genus,Tharyx,worms,129249,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Tharyx,,Tharyx
Species,Trypanosyllis zebra,worms,131467,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Trypanosyllis,Trypanosyllis zebra,Trypanosyllis zebra
Genus,Tubifex,worms,324681,Animalia,Annelida,Polychaeta,,Maldanidae,Tubifex,,Tubifex
Species,Typosyllis magdalena,worms,334989,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,Typosyllis magdalena,Typosyllis magdalena
Species,Amblyosyllis speciosa,worms,326282,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Amblyosyllis,Amblyosyllis speciosa,Amblosyllis speciosa
Species,Amphicteis gunneri,worms,129784,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,Amphicteis gunneri,Amphiciteis gunneri
Family,Chrysopetalidae,worms,944,Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,Chrysopetalidae unidentiifed
Species,Dodecaceria opulens,worms,327439,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria opulens,Dodecacera opulens
Species,Sosane wahrbergi,worms,334811,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Sosane,Sosane wahrbergi,Mugga wahrbergi
Species,Micronephthys cornuta,worms,869884,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Micronephthys,Micronephthys cornuta,Nephtys cornuta
Species,Nereis splendida,worms,334198,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis splendida,Nereis falsa
Family,Onuphidae,worms,965,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,,,Onuphidae unidentiified
Species,Spirobranchus triqueter,worms,555935,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus triqueter,Pomatoceros triqueter
Species,Spirorbis corrugatus,worms,155533,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,Spirorbis corrugatus,Spirobis corrugatus
Species,Spirorbis (Spirorbis) spirorbis,worms,334842,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,Spirorbis (Spirorbis) spirorbis,Spirorbis borealis
Species,Circeis spirillum,worms,131201,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Circeis,Circeis spirillum,Spirorbis spirillum
Species,Typosyllis farallonensis,itis,65693,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,Typosyllis farallonensis,Syllis farallonensis
Unknown,Acarina,worms,1349,Animalia,Arthropoda,Arachnida,,,,,Acarina
Genus,Aceroides,worms,101687,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Aceroides,,Aceroides
Species,Allopetrolisthes sinifrons,gbif,4647147,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Allopetrolisthes,Allopetrolisthes spinifrons,Allopetrolisthes sinifrons
Unknown,Allorchestes,worms,204540,Animalia,Arthropoda,Malacostraca,Amphipoda,Dogielinotidae,Allorchestes,,Allorchestes
Genus,Amathillopsis,worms,101444,Animalia,Arthropoda,Malacostraca,Amphipoda,Amathillopsidae,Amathillopsis,,Amathillopsis
Species,Ambunguipes rufocincta,worms,115511,Animalia,Arthropoda,Hexanauplia,Harpacticoida,Hamondiidae,Ambunguipes,Ambunguipes rufocincta,Ambunguipes rufocincta
Species,Ampelisca amblyopsoides,worms,422966,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca amblyopsoides,Ampelisca amblyopsoides
Species,Amphibalanus amphitrite,worms,421137,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,Amphibalanus amphitrite,Amphibalanus amphitrite
Species,Amphibalanus improvisus,worms,421139,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,Amphibalanus improvisus,Amphibalanus improvisus
Order,Amphipoda,worms,1135,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda
Unknown,Amphipoda,worms,1135,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda
Unknown,Ampithoe,worms,101459,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,Ampithoe
Species,Ampithoe koreana,worms,488485,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe koreana,Ampithoe koreana
Species,Ampithoe lacertosa,worms,423106,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe lacertosa,Ampithoe lacertosa
Species,Ampithoe valida,worms,102005,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,Ampithoe valida
Genus,Aora,worms,101464,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aora,,Aora
Family,Aoridae,worms,101368,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,,,Aoridae
Unknown,Arachnida,worms,1300,Animalia,Arthropoda,Arachnida,,,,,Arachnida
Species,Araphura cuspirostris,worms,247661,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,Araphura,Araphura cuspirostris,Araphura cuspirostris
Phylum,Arthropoda,worms,1065,Animalia,Arthropoda,,,,,,Arthropoda
Order,Asellota,worms,13794,Animalia,Arthropoda,Malacostraca,Isopoda,,,,Asellota
Species,Athanas nitescens,worms,107486,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Athanas,Athanas nitescens,Athanas nitescens
Species,Atylus tridens,worms,488910,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Atylus,Atylus tridens,Atylus tridens
Species,Austromegabalanus psittacus,worms,535006,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Austromegabalanus,Austromegabalanus psittacus,Austromegabalanus psittacus
Species,Austrominius modestus,worms,712167,Animalia,Arthropoda,Hexanauplia,Sessilia,Austrobalanidae,Austrominius,Austrominius modestus,Austrominius modestus
Genus,Balanidae,worms,106057,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,,,Balanidae
Family,Balanidae,worms,106057,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,,,Balanidae
Genus,Balanus,worms,106122,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,Balanus
Unknown,Balanus,worms,106122,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,Balanus
Species,Balanus amphitrite amphitrite,worms,106258,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,85,Balanus amphitrite amphitrite
Species,Balanus balanus,worms,106213,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus balanus,Balanus balanus
Species,Balanus crenatus,worms,106215,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus crenatus,Balanus crenatus
Species,Balanus glandula,worms,394848,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,Balanus glandula
Species,Balanus trigonus,worms,106223,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,Balanus trigonus
Genus,Bathymedon,worms,101691,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Bathymedon,,Bathymedon
Family,Bresiliidae,worms,106780,Animalia,Arthropoda,Malacostraca,Decapoda,Bresiliidae,,,Bresiliidae
Order,Calanoida,worms,1100,Animalia,Arthropoda,Hexanauplia,Calanoida,,,,Calanoida
Family,Calliopiidae,worms,146744,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,,,Calliopiidae
Species,Calliopius laeviusculus,worms,102178,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,Calliopius laeviusculus,Calliopius laeviusculus
Species,Calliopius pacificus,worms,430720,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,Calliopius pacificus,Calliopius pacificus
Genus,Campylaspis,worms,110415,Animalia,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis,,Campylaspis
Genus,Cancer,worms,106876,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,,Cancer
Unknown,Cancer,worms,106876,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,,Cancer
