"taxon_id","location_id","locality","occurrence_status","establishment_means","invasiveness","event_date","source","occurrence_remarks","country_code","scientific_name_id","accepted_name_usage_id","scientific_name","accepted_name_usage","taxonomic_status"
"218716","218716","Israeli part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","2011-01-15","Salameh, P.; Sonin, O.; Edelist, D.; Golani, D. (2011). First record of the Red Sea orangeface butterflyfish Chaetodon larvatus Cuvier, 1831 in the Mediterranean. <em>Aquatic Invasions.</em> 6(Supplement 1): S53-S55.","On 15 January 2011 an 89.9 mm (SL) specimen of Chaetodon larvatus Cuvier, 1831, weighing 37.6 g, (Figure 1) was speared at a depth of 10 m near Tel Shiqmona (32°49'27?N, 34°56'49?E) at the southern edge of Haifa Bay, Israel.","IL","218716","218716","Chaetodon larvatus","Chaetodon larvatus","accepted"
"218732","218732","Israeli part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Not specified","2011-08","Goren, M.; Gvili, R.; Galil, B. (2011). The reef-associating butterfly fish <i>Chaetodon austriacus</i> Rüppell, 1836 in the Mediterranean: The implication of behavioral plasticity for bioinvasion hazard assessment. <em>Aquatic Invasions.</em> 6(Supplement 1): S143-S145.","A single specimen of the blacktail butterflyfish, Chaetodon austriacus Rüppell, 1836, was collected near the port of Ashdod, on the Mediterranean coast of Israel on August 2011.","IL","218732","218732","Chaetodon austriacus","Chaetodon austriacus","accepted"
"218765","218765","Overlapping claim Ukrainian part of the Black Sea","Reported","Alien","Uncertain","2003","Boltachev, A. R.; Astakhov, D. A. (2004). An Unusual Finding of Pennant Coralfish <i>Heniochus acuminatus</i> (Chaetodontidae) in Balaklava Bay Sevastopol Southwestern Crimea. <em>Voprosy Ichtiologii.</em> 44(6): 853-854.","On October 27, 2003, fishermen of the collective fishery enterprise “Put’ Il’icha,” collecting the catch from their trap seine installed in the southern part of Balaklava Bay, found an unusual fish, which was transferred for identification to the Sevastopol Fishery Inspection, and then to the Institute of the Biology of Southern Seas. It turned out that this unusual specimen was an exotic coral fish of the family Chaetodontidae, <i>Heniochus acuminatus</i> (pennant coralfish).","UA","218765","218765","Heniochus acuminatus","Heniochus acuminatus","accepted"
"218767","218767","Mediterranean Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"218767","218767","Heniochus intermedius","Heniochus intermedius","accepted"
"218767","218767","Turkish part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","2002","Gokoglu, M.; Bodur, T.; Kaya, Y. (2003). First record of the Red Sea bannerfish (<i>Heniochus intermedius</i> Steindachner, 1893) from the Mediterranean Sea. <em>Israel Journal of Zoology.</em> 49: 324-325.","During scuba diving on rocky substrate at depths of 5-10 m in the Gulf of Antalya, we sighted one Red Sea bannerfish (<i>Heniochus intermedius</i>, Steindachner, 1893). We monitored this specimen for about three months and recorded it by video camera in an underwater cavern. The specimen was caught for identification on 4 September 2002 and morphometric and meristic measurements were taken. Another individual was also seen in the same region during scuba diving.","TR","218767","218767","Heniochus intermedius","Heniochus intermedius","accepted"
"218767","218767","Lebanese part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","2002","Bariche, M. (2012). Recent evidence on the presence of Heniochus intermedius (Teleostei: Chaetodontidae) and Platycephalus indicus (Teleostei: Platycephalidae) in the Mediterranean Sea. BioInvasions Records 1(1): 53-57.","Year first introduced or recorded : This paper (Bariche, 2012) reports the second voucher specimen - collected on 16 July 2011 - in the country).","LB","218767","218767","Heniochus intermedius","Heniochus intermedius","accepted"
"218777","218777","Caribbean Sea","Reported","Alien","Uncertain",NA,"Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.","Location : Greater Antilles",NA,"218777","218777","Oreochromis mossambicus","Oreochromis mossambicus","accepted"
"218777","218777","Florida","Reported","Alien","Invasive",NA,"Lopez, V. and Krauss, U. (2006) National and Regional Capacities and Experiences on Marine Invasive Species, Including Ballast Waters, Management Programmes in the Wider Caribbean Region: a Compilation of Current Information. UNEP Caribbean Environment Programme Report on Marine Invasive Species",NA,"US","218777","218777","Oreochromis mossambicus","Oreochromis mossambicus","accepted"
"219004","219004","Greek part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","2004","Corsini, M., Margies, P., Kondilatos , G. & Economidis, P. S. (2006). Three new exotic fish records from the SE Aegean Greek waters. <em>Scientia Marina.</em> 70(2): 319-323.","Three exotic fish, Iniistius pavo (Labridae) and Lagocephalus sceleratus (Tetraodontidae), Lessepsian immigrants, and Seriola fasciata (Carangidae) of Atlantic origin, were recorded in the marine area of Rhodes Island (SE Aegean Sea, Greece). The first species is a new record for the Mediterranean Sea, the second is new for Greek waters, while the occurrence of the third is registered for the first time in the eastern Mediterranean Sea. [...] The juvenile I. pavo specimen [...] was captured on August 2004 in the Plimmiris area, SE coast of Rhodes, at a depth of 2.5 m [...]","GR","219004","219004","Iniistius pavo","Iniistius pavo","accepted"
"219053","219053","Mediterranean Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"219053","219053","Pteragogus pelycus","Pteragogus pelycus","accepted"
"219053","219053","Israeli part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","1991","Golani, D.; Sonin, O. (1992). New records of Red Sea fishes, <i>Pterois miles</i> (Scorpaenidae) and <i>Pteragogus pelycus</i> (Labridae) from the Eastern Mediterrannean Sea. <em>Japanese Journal of Ichtyology.</em> 39(2): 167-169.",NA,"IL","219053","219053","Pteragogus pelycus","Pteragogus pelycus","accepted"
"219053","219053","Levantine Sea","Established","Alien","Uncertain","2000","Taskavak, E.; Bilecenoglu,  M.; Basusta, N.; Mater, S. (2000). Occurrence of Pteragogus pelycus Randall, 1981 (Teleostei: Labridae) and Petroscirtes ancylodon Rüppell, 1838 (Teleostei: Blenniidae) on the eastern Mediterranean coast of Turkey. <em>Acta Adriatica.</em> 41: 53-58.",NA,NA,"219053","219053","Pteragogus pelycus","Pteragogus pelycus","accepted"
"219127","219127","Mediterranean Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"219127","219127","Scarus ghobban","Scarus ghobban","accepted"
"219127","219127","Cypriote part of the Mediterranean Sea - Eastern Basin","Established","Alien","Uncertain","2010","Ioannou, G.; Michailidis, N.; Loucaides, A.; Manitaras, I. (2010). First Occurrence Of Scarus ghobban (Actinopterygii: Scaridae) in The Coastal Waters Of Cyprus (Eastern Mediterranean Sea). <em>Mediterranean Marine Science.</em> 11(2): 353-356.","Location : Zygi, Cyprus","CY","219127","219127","Scarus ghobban","Scarus ghobban","accepted"
"219127","219127","Lebanese part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","1999","Bariche, M. & Saad, M., 2005. Settlement of the lessepsian  blue-barred parrotfish Scarus ghobban (Teleostei: Scaridae) in  the eastern Mediterranean. Marine Biodiversity Records, 1 (e5): 1-3.",NA,"LB","219127","219127","Scarus ghobban","Scarus ghobban","accepted"
"219127","219127","Israeli part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Not specified","2001-10","Goren, M.; Aronov, A. (2002). First record of the Indo-Pacific parrot fish <i>Scarus ghobban</i> in the Eastern Mediterranean. <em>Cybium.</em> 26(3): 239-240.","Un spécimen de <i>Scarus ghobban</i> de 505 mm. TL a été capturé en octobre 2001 au large de la côte de Shiqmona, près d’Haïfa (Israël). C’est le premier signalement de cette espèce tropicale en Méditerranée et le premier migrant lessepsien de la famille des Scaridae.","IL","219127","219127","Scarus ghobban","Scarus ghobban","accepted"
"219320","219320","Israeli part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","2003-07-28","Golani, D. (2004). First record of the muzzled blenny (Osteichthyes: Blenniidae: Omobranchus punctatus) from the Mediterranean, with remarks on ship-mediated fish introduction. <em>Journal of the Marine Biological Association of the UK.</em> 84(4): 851-852.","The muzzled blenny Omobanchus punctatus is recorded for the first time in the Mediterranean Sea, collected among fouling organisms covering the frame of aquaculture cages at the entrance to the port of Ashdod, Israel. Its presence there is most likely due to accidental introduction attributed to ship-mediated transfer. [...] On 28 July 2003, some 30 km south of Tel-Aviv, a 45.1mm total length (39.3mm standard length [SL]) specimen of a blenny previously unknown to this area was found (Golani, 1996). The specimen (Figure 1) was collected at depths of 20-50 cm, from fouling on the plastic frames of aquaculture fish cage platforms, located at the entrance to the port of Ashdod (Figure 2). This specimen was identi¢ed as Omobranchus punctatus (Valenciennes, 1836) and was deposited in the Hebrew University Fish Collection, receiving the catalogue number HUJ 18977.","IL","219320","219320","Omobranchus punctatus","Omobranchus punctatus","accepted"
"219320","219320","Brazilian part of the North Atlantic Ocean","Not specified","Alien","Uncertain",NA,"Soares, B.E.; Oliveira Raiol, R.D.; de Assis Montag, L.F. (2011). Occurrence of the non-native blenny Omobranchus punctatus (Valenciennes, 1836) (Perciformes: Blenniidae) in the Amazon coastal zone, Brazil. <em>Aquatic Invasions.</em> 6(1): 39-43.","Location : Algodoal-Maiandeua Island Environmental Protection Area in the municipality of Maracana in the Brazilian state of Para","BR","219320","219320","Omobranchus punctatus","Omobranchus punctatus","accepted"
"219320","219320","Brazilian part of the South Atlantic Ocean","Not specified","Alien","Uncertain",NA,"Soares, B.E.; Oliveira Raiol, R.D.; de Assis Montag, L.F. (2011). Occurrence of the non-native blenny Omobranchus punctatus (Valenciennes, 1836) (Perciformes: Blenniidae) in the Amazon coastal zone, Brazil. <em>Aquatic Invasions.</em> 6(1): 39-43.","Location : Babitonga Bay","BR","219320","219320","Omobranchus punctatus","Omobranchus punctatus","accepted"
"219320","219320","Brazilian part of the South Atlantic Ocean","Established","Alien","Uncertain",NA,"de Paula Costa, M.D.; Souza-Conceição, J.M.; Schwingel, P.R.; Spach, H.L. (2011). Assessment of larval distribution of invasive Omobranchus punctatus (Valenciennes, 1836) (Pisces: Blenniidae) in a subtropical estuary (Southern Brazil). <em>Aquatic Invasions.</em> 6 (Suppl. 1): S33-S38.","Location : Babitonga Bay","BR","219320","219320","Omobranchus punctatus","Omobranchus punctatus","accepted"
"219320","219320","Israel","Established","Alien","Uncertain","2003","de Paula Costa, M.D.; Souza-Conceição, J.M.; Schwingel, P.R.; Spach, H.L. (2011). Assessment of larval distribution of invasive Omobranchus punctatus (Valenciennes, 1836) (Pisces: Blenniidae) in a subtropical estuary (Southern Brazil). <em>Aquatic Invasions.</em> 6 (Suppl. 1): S33-S38.",NA,NA,"219320","219320","Omobranchus punctatus","Omobranchus punctatus","accepted"
"219330","219330","Mediterranean Sea","present","Alien",NA,NA,"Streftaris, N.; Zenetos, A.; Papathanassiou, E. (2005). Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 43: 419-453.",NA,NA,"219330","219330","Petroscirtes ancylodon","Petroscirtes ancylodon","accepted"
"219330","219330","Israeli part of the Mediterranean Sea - Eastern Basin","Reported","Alien","Uncertain","1988","Goren, M.; Galil, B. S. (1989). <i>Petroscirtes ancylodon</i>: First Lessepsian migrant blenny in the eastern Mediterranean. <em>Israel Journal of Zoology.</em> 36: 125-128.","A specimen of the Red Sea blenny <i>Petroscirtes ancylodon</i> is recorded for the first time from the Mediterranean.[...] Material: TAU 10150, 1 spec., off Nizzanim (40 km S of Tel Avivn 1.5 km offshore), TL 82.7 mm, SL 69.0 mm, Leg.B. Galil, 21.X.1988.","IL","219330","219330","Petroscirtes ancylodon","Petroscirtes ancylodon","accepted"
"219330","219330","Levantine Sea","Established","Alien","Uncertain","2000","Taskavak, E.; Bilecenoglu,  M.; Basusta, N.; Mater, S. (2000). Occurrence of Pteragogus pelycus Randall, 1981 (Teleostei: Labridae) and Petroscirtes ancylodon Rüppell, 1838 (Teleostei: Blenniidae) on the eastern Mediterranean coast of Turkey. <em>Acta Adriatica.</em> 41: 53-58.",NA,NA,"219330","219330","Petroscirtes ancylodon","Petroscirtes ancylodon","accepted"
"219331","219331","Papua New Guinea","Reported","Alien","Uncertain","1972","Froese, R. & D. Pauly (Editors). (2019). FishBase. World Wide Web electronic publication. version (02/2019).","Location : Southeast Papua New Guinea",NA,"219331","219331","Petroscirtes breviceps","Petroscirtes breviceps","accepted"
