Paper ID,Type,Limit,Site,Lat,Long,Certainty
999,Point,,BF-38,43.343,-124.384,1
999,Point,,BF-108,43.34,-124.367,1
999,Point,,BF-109,43.34,-124.367,1
100,Point,,7,43.328,9.627,1
999,Point,,BF-67,43.309,-124.399,1
999,Point,,BF-120,43.309,-124.399,1
999,Point,,BF-121,43.309,-124.399,1
999,Point,,BF-123,43.309,-124.399,1
999,Point,,BF-150,43.309,-124.399,1
999,Point,,BF-208,43.309,-124.399,1
999,Point,,BF-247,43.309,-124.399,1
207,Point,,9,43.309,153.948,1
999,Point,,BF-118,43.302,-124.395,1
999,Point,,BF-159,43.302,-124.395,1
999,Point,,BF-309,43.302,-124.395,1
109,Point,,12,43.264,7.051,2
100,Point,,8,43.261,9.843,1
151,Point,,1,43.254,6.939,1
999,Point,,BF-73,43.217,-124.414,1
999,Point,,BF-74,43.217,-124.414,1
999,Point,,BF-107,43.217,-124.414,1
109,Point,,9,43.208,5.405,2
999,Point,,BF-296,43.146,-124.417,1
999,Point,,BF-297,43.146,-124.417,1
999,Point,,BF-298,43.146,-124.417,1
100,Point,,9,43.135,10.193,1
999,Point,,BF-79,43.112,-124.451,1
999,Point,,BF-80,43.112,-124.451,1
999,Point,,BF-81,43.112,-124.451,1
999,Point,,BF-103,43.112,-124.451,1
999,Point,,BF-104,43.112,-124.451,1
999,Point,,BF-105,43.112,-124.451,1
999,Point,,BF-128,43.112,-124.451,1
999,Point,,BF-262,43.112,-124.451,1
999,Point,,BF-422,43.112,-124.451,1
999,Point,,BF-456,43.112,-124.451,1
999,Point,,BF-495,43.112,-124.451,1
999,Point,,BF-561,43.112,-124.451,1
109,Point,,18,43.095,10.044,2
999,Point,,BF-515,43.087,-124.435,1
999,Point,,BF-556,43.087,-124.435,1
999,Point,,BF-592,43.087,-124.435,1
999,Point,,BF-441,43.086,-124.437,1
999,Point,,BF-263,43.082,-124.435,1
109,Point,,10,43.067,5.854,2
109,Point,,11,43.067,6.253,2
162,Point,,1,42.998,144.794,2
109,Point,,17,42.983,9.096,2
100,Point,,1,42.98,8.784,1
202,Point,,4,42.952,10.2709677,2
198,Point,,1,42.939,15.479,3
201,Point,,42,42.936,-127.787,2
83,Point,,6,42.873,16.178,1
999,Point,,BF-538,42.855,-124.544,1
109,Point,,19,42.842,9.196,2
999,Point,,BF-106,42.838,-124.582,1
999,Point,,BF-214,42.838,-124.582,1
999,Point,,BF-517,42.829,-124.551,1
112,Point,,3,42.812,10.482,1
201,Point,,39,42.77,-124.704,2
207,Point,,8,42.765,152.969,1
999,Point,,BF-527,42.736,-124.478,1
999,Point,,BF-528,42.736,-124.478,1
999,Point,,BF-529,42.736,-124.478,1
999,Point,,BF-530,42.736,-124.478,1
192,Point,,1,42.73,10.156,1
212,Point,,1,42.727,10.16,1
143,Point,,16,42.712,-128.343,2
999,Point,,BF-260,42.712,-124.461,1
999,Point,,BF-232,42.687,-124.448,1
143,Point,,89,42.508,-128.343,2
999,Point,,BF-114,42.486,-124.486,1
93,Point,,1,42.481,3.136,2
999,Point,,BF-423,42.451,-124.428,1
109,Point,,7,42.447,3.26,2
201,Point,,41,42.438,-127.945,2
999,Point,,BF-424,42.422,-124.431,1
999,Point,,BF-425,42.422,-124.431,1
999,Point,,BF-86,42.386,-124.424,1
999,Point,,BF-261,42.386,-124.424,1
999,Point,,BF-404,42.386,-124.424,1
999,Point,,BF-433,42.386,-124.424,1
109,Point,,8,42.363,3.609,2
999,Point,,BF-513,42.362,-124.424,1
83,Point,,5,42.348,17.518,1
136,Point,,1,42.333,3.319,3
999,Point,,BF-524,42.306,-124.411,1
999,Point,,BF-119,42.279,-124.408,1
999,Point,,BF-231,42.279,-124.408,1
999,Point,,BF-494,42.279,-124.408,1
999,Point,,BF-523,42.279,-124.408,1
999,Point,,BF-562,42.279,-124.408,1
201,Point,,38,42.271,-124.15,2
112,Point,,2,42.264,3.398,1
999,Point,,BF-116,42.252,-124.431,1
999,Point,,BF-124,42.252,-124.431,1
999,Point,,BF-127,42.252,-124.431,1
999,Point,,BF-557,42.252,-124.431,1
999,Point,,BF-558,42.252,-124.431,1
999,Point,,BF-559,42.252,-124.431,1
999,Point,,BF-560,42.252,-124.431,1
999,Point,,BF-590,42.252,-124.431,1
999,Point,,BF-601,42.252,-124.431,1
999,Point,,BF-602,42.252,-124.431,1
999,Point,,BF-648,42.252,-124.431,1
999,Point,,BF-167,42.25,-124.411,1
202,Point,,3,42.238,3.4064516,2
207,Point,,7,42.198,153.983,1
207,Point,,6,42.148,151.712,1
109,Point,,20,42.137,9.845,2
143,Point,,17,42.102,-129.714,2
143,Point,,90,42.102,-129.486,2
999,Point,,BF-117,42.098,-124.36,1
999,Point,,BF-306,42.052,-124.3,1
114,Point,,15,42.018,-139.286,1
135,Point,,1,41.952,3.271,3
207,Point,,5,41.951,151.747,1
109,Point,,21,41.912,10.293,2
152,Point,,2,41.763,-9.736,1
83,Point,,4,41.718,18.306,1
111,Point,,1,41.483,17.497,1
114,Point,,6,41.424,-155.657,1
